level: 1
rounds: 46
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 left
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 middle
2 middle
2 middle
3 right
2 middle
1 left
2 middle
2 middle
2 middle
3 right
2 middle
1 left

level: 2
rounds: 21
2 left
3 middle
3 middle
4 right
3 middle
5 right
3 middle
1 left
3 middle
2 left
3 middle
3 middle
3 middle
4 right
3 middle
5 right
3 middle
1 left
3 middle
2 left
3 middle

level: 3
rounds: 16
4 middle
4 middle
4 middle
5 right
4 middle
6 right
4 middle
7 right
4 middle
1 left
4 middle
2 left
4 middle
3 left
4 middle
4 middle

level: 4
rounds: 516
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 middle
1 left
5 middle
2 left
5 middle
3 left
5 middle
4 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 middle
1 left
5 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 left
5 left
5 left
5 left
5 left
5 left
5 left
5 middle
3 left
5 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 right
5 middle
1 left
5 middle
2 middle
2 middle
2 middle
2 left
5 middle
3 left
5 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 right
5 middle
1 left
5 middle
2 left
5 middle
3 left
5 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 right
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 right
5 middle
1 left
5 middle
2 left
5 middle
3 left
5 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 left
5 left
5 left
5 left
5 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 right
5 middle
1 left
5 middle
2 middle
2 middle
2 middle
2 middle
2 left
5 middle
3 left
5 middle
4 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 right
5 middle
1 left
5 middle
2 left
5 middle
3 left
5 middle
4 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 right
5 middle
1 left
5 middle

level: 5
rounds: 27
6 middle
6 middle
6 middle
7 right
6 middle
8 right
6 middle
9 right
6 middle
10 right
6 middle
11 right
6 middle
1 left
6 middle
2 left
6 middle
3 left
6 middle
4 left
6 middle
5 left
6 middle
6 middle
6 middle
7 right
6 middle

level: 6
rounds: 27
7 middle
7 middle
7 middle
8 right
7 middle
9 right
7 middle
10 right
7 middle
11 right
7 middle
12 right
7 middle
13 right
7 middle
1 left
7 middle
2 left
7 middle
3 left
7 middle
4 left
7 middle
5 left
7 middle
6 left
7 middle

level: 7
rounds: 31
8 middle
8 middle
8 middle
9 right
8 middle
10 right
8 middle
11 right
8 middle
12 right
8 middle
13 right
8 middle
14 right
8 middle
15 right
8 middle
1 left
8 middle
2 left
8 middle
3 left
8 middle
4 left
8 middle
5 left
8 middle
6 left
8 middle
7 left
8 middle

level: 8
rounds: 35
9 middle
9 middle
9 middle
10 right
9 middle
11 right
9 middle
12 right
9 middle
13 right
9 middle
14 right
9 middle
15 right
9 middle
16 right
9 middle
17 right
9 middle
1 left
9 middle
2 left
9 middle
3 left
9 middle
4 left
9 middle
5 left
9 middle
6 left
9 middle
7 left
9 middle
8 left
9 middle

level: 9
rounds: 39
10 middle
10 middle
10 middle
11 right
10 middle
12 right
10 middle
13 right
10 middle
14 right
10 middle
15 right
10 middle
16 right
10 middle
17 right
10 middle
18 right
10 middle
19 right
10 middle
1 left
10 middle
2 left
10 middle
3 left
10 middle
4 left
10 middle
5 left
10 middle
6 left
10 middle
7 left
10 middle
8 left
10 middle
9 left
10 middle

level: 10
rounds: 43
11 middle
11 middle
11 middle
12 right
11 middle
13 right
11 middle
14 right
11 middle
15 right
11 middle
16 right
11 middle
17 right
11 middle
18 right
11 middle
19 right
11 middle
20 right
11 middle
21 right
11 middle
1 left
11 middle
2 left
11 middle
3 left
11 middle
4 left
11 middle
5 left
11 middle
6 left
11 middle
7 left
11 middle
8 left
11 middle
9 left
11 middle
10 left
11 middle
