level: 1
rounds: 42
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 left
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 middle
2 middle
2 middle
3 right
2 middle
1 left
2 middle
2 middle
2 middle

level: 2
rounds: 7
3 middle
3 middle
3 middle
4 right
3 middle
5 right
3 middle
1 left

level: 3
rounds: 13
2 left
4 middle
4 middle
5 right
4 middle
6 right
4 middle
7 right
4 middle
1 left
4 middle
2 left
4 middle
3 left

level: 4
rounds: 1079
4 left
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 left
9 left
9 left
9 left
9 left
9 left
9 middle
9 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 middle
1 left
5 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 right
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 left
5 middle
3 left
5 middle
4 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 left
9 left
9 left
9 left
9 left
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 middle
1 left
5 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 right
5 middle
3 left
5 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 right
5 middle
1 left
5 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 middle
3 left
5 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 left
5 left
5 left
5 left
5 left
5 left
5 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 middle
1 left
5 middle
2 left
5 middle
3 left
5 middle
4 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 middle
1 left
5 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 left
5 middle
3 left
5 middle
4 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 middle
1 left
5 middle
2 left
5 middle
3 left
5 middle
4 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 middle
1 left
5 middle
2 left
5 middle
3 left
5 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 right
5 middle
1 left
5 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 left
5 left
5 left
5 left
5 left
5 left
5 left
5 middle
3 left
5 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 right
5 left
5 left
5 left
5 left
5 left
5 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 right
5 middle
1 left
5 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 left
5 middle
3 left
5 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 middle
1 left
5 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 left
5 middle
3 left
5 middle
4 middle
4 middle
4 middle
4 middle
4 middle
4 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 left
9 left
9 left
9 left
9 left
9 middle
9 middle
9 middle
9 middle
9 middle
9 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 middle
1 left
5 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 middle
2 left
5 middle
3 left
5 middle
4 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 middle
1 left
5 middle
2 left
5 middle
3 left
5 middle
4 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 left
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 middle
9 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 right
5 middle
1 left
5 middle
2 left
5 middle
3 left
5 middle
4 left
5 middle
5 middle
5 middle
6 right
5 middle
7 right
5 middle
8 right
5 middle
9 right
5 middle
1 left
5 middle
2 left
5 middle
3 left
5 middle
4 left
5 middle

level: 5
rounds: 750
6 middle
6 middle
6 middle
7 right
6 middle
8 right
6 middle
9 right
6 middle
10 right
6 middle
11 right
6 middle
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 middle
1 right
1 right
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 right
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 right
1 middle
1 middle
1 middle
1 right
1 right
1 middle
1 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 middle
2 left
6 middle
3 middle
3 middle
3 middle
3 middle
3 middle
3 middle
3 middle
3 middle
3 middle
3 middle
3 middle
3 middle
3 middle
3 left
6 middle
4 left
6 middle
5 middle
5 middle
5 middle
5 middle
5 middle
5 middle
5 middle
5 middle
5 middle
5 middle
5 middle
5 middle
5 middle
5 middle
5 middle
5 middle
5 middle
5 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 middle
6 middle
6 middle
7 right
6 middle
8 right
6 middle
9 right
6 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 middle
11 right
6 middle
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 right
1 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 left
6 middle
2 left
6 middle
3 left
6 middle
4 left
6 middle
5 left
6 middle
6 middle
6 middle
7 right
6 middle
8 right
6 middle
9 right
6 middle
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 left
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 middle
11 left
11 left
11 left
11 left
11 left
11 left
11 left
11 left
11 left
11 left
11 middle
11 middle
11 middle
11 middle
11 middle
11 middle
11 middle
11 middle
11 middle
11 middle
11 middle
11 middle
11 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 middle
1 left
6 left
6 left
6 left
6 left
6 left
6 left
6 middle
2 left
6 middle
3 left
6 middle
4 left
6 middle
5 left
6 middle
6 middle
6 middle
7 right
6 middle
8 right
6 middle
9 right
6 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 right
6 right
6 right
6 right
6 right
6 right
6 right
6 middle
11 right
6 middle
1 left
6 middle
2 left
6 middle
3 left
6 middle
4 left
6 middle
5 left
6 middle
6 middle
6 middle
7 right
6 middle
8 right
6 middle
9 right
6 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 middle
10 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
6 right
